time,bpm
2022-04-23 16:59:53.279478+00:00,76
2022-04-23 17:00:22.664115+00:00,79
2022-04-23 17:00:52.684374+00:00,76
2022-04-23 17:01:24.622194+00:00,55
2022-04-23 17:01:57.295564+00:00,71
2022-04-23 17:02:24.693720+00:00,58
2022-04-23 17:02:52.827042+00:00,56
2022-04-23 17:03:22.166946+00:00,58
2022-04-23 17:03:22.942135+00:00,0
2022-04-23 17:03:55.422567+00:00,95
2022-04-23 17:04:26.747167+00:00,76
2022-04-23 17:04:55.457393+00:00,55
2022-04-23 17:05:28.760629+00:00,76
2022-04-23 17:07:04.743964+00:00,75
2022-04-23 17:07:37.372049+00:00,76
2022-04-23 17:09:31.619978+00:00,75
2022-04-23 17:10:01.637517+00:00,76
2022-04-23 17:11:05.588793+00:00,71
2022-04-23 17:11:33.667970+00:00,57
2022-04-23 17:12:03.688348+00:00,56
2022-04-23 17:12:35.621981+00:00,76
2022-04-23 17:13:04.387596+00:00,53
2022-04-23 17:13:37.643368+00:00,76
2022-04-23 17:14:37.716202+00:00,58
2022-04-23 17:15:05.795667+00:00,57
2022-04-23 17:15:38.464043+00:00,76
2022-04-23 17:16:07.854437+00:00,53
2022-04-23 17:16:39.789528+00:00,76
2022-04-23 17:17:09.825549+00:00,65
2022-04-23 17:17:42.445343+00:00,76
2022-04-23 17:18:31.447237+00:00,53
2022-04-23 17:19:01.468146+00:00,48
2022-04-23 17:19:29.542722+00:00,52
2022-04-23 17:19:58.254506+00:00,53
2022-04-23 17:20:16.662606+00:00,55
2022-04-23 17:20:44.740404+00:00,59
2022-04-23 17:21:17.409323+00:00,86
2022-04-23 17:21:50.712045+00:00,81
2022-04-23 17:22:23.426905+00:00,95
2022-04-23 17:22:56.681537+00:00,71
2022-04-23 17:23:29.354069+00:00,95
2022-04-23 17:24:00.665911+00:00,76
2022-04-23 17:24:34.643013+00:00,94
2022-04-23 17:25:07.271994+00:00,76
2022-04-23 17:26:11.352019+00:00,71
2022-04-23 17:27:15.342997+00:00,76
2022-04-23 17:28:19.377961+00:00,86
2022-04-23 17:28:50.742000+00:00,81
2022-04-23 17:29:52.797512+00:00,79
2022-04-23 17:30:21.508618+00:00,81
2022-04-23 17:30:54.765051+00:00,95
2022-04-23 17:32:00.691442+00:00,71
2022-04-23 17:32:33.313178+00:00,81
